,customer_id,product_title,star_rating
0,1,I Surrender (Live),5
1,1,"Lord, I Live",5
2,1,Send The Rain (Extended Radio Edit),5
3,1,Changes,5
4,1,"Lord, You're Holy",5
5,1,Worth (Full Version),5
6,1,Holy Spirit (Live) [feat. Kim Walker-Smith],5
7,1,Everyday,5
8,1,"Lord, I Praise You",5
9,1,Hosanna,5
10,1,Yahweh,5
11,1,Break Every Chain,5
12,1,Atmosphere of Faith,5
13,2,We Are Young (Jersey Club),4
14,2,Back In Black,5
15,2,Fight Song (Workout Mix 120 BPM),5
16,2,Renegades,5
17,2,In The Air Tonight,5
18,2,Do My Thing (Feat. Janelle Mon찼e),5
19,2,Animals (Extended),5
20,2,Work B***h [Explicit],5
21,2,Electric Feel,5
22,2,Tnght,5
23,2,Black Limousine,5
24,2,The Walker,5
25,2,Use Somebody,5
26,2,Express Yourself EP [Explicit],5
27,2,I Can't Stop,5
28,2,Breakn' A Sweat (Zedd Remix),5
29,2,Be Free (Oliver Remix),5
30,3,I'll Never Be Free,5
31,3,Keep On Lovin' You,5
32,3,Orfelino,5
33,3,That��셲 My Home [feat. The McCrary Sisters & Wendell Brunious],5
34,3,Tell Mama,4
35,3,Call Me The Breeze,5
36,3,Ficar (feat. Marcela Mangabeira),5
37,3,"Peter Gunn (feat. Jason Rebello And Trombone Shorty) [Live at The Iridium, June 2010]",4
38,3,Heaven's Only Days Down The Road,5
39,3,"To Voltando (feat. Monobloco, Cris Delanno, Roberto Menescal)",5
40,3,Dreamin' or Dyin',5
41,3,Killer Joe,5
42,3,Closing in Christmas,5
43,3,Guantanamera [feat. Bebe],5
44,3,Drown In My Own Tears,4
45,3,Autumn Leaves,5
46,3,At Last,5
47,3,A Beautiful Mess,5
48,3,Built 4 Love,4
49,3,Soul Meeting,4
50,4,Bat Out Of Hell,5
51,4,"When All Is Said And Done (From ""Mamma Mia!"" Soundtrack)",5
52,4,Gold: Greatest Hits,5
53,4,Read 'Em and Weep,5
54,4,I'd Do Anything For Love (But I Won't Do That),5
55,4,I'm Gonna Love Her for Both of Us (Album Version),5
56,4,Dead Ringer for Love,5
57,4,Shut Up and Dance,5
58,4,Hey There Delilah,5
59,4,Closing Time (from Friends With Benefits),5
